Station_ID,Ecoli0820,Entero0820,PRE0820
CHW,1600,400,0.3
CRK,100,76,0.1
FBL,0,656,0.11
NPRB,500,478,0.3
PCP,400,0,0.11
PTP,0,365,0.133
PNSL,0,220,0.2
PADB,200,184,0.1
PPP,2200,62,0.133
REP,1900,156,0.133
RBL,0,0,0.003
SRBG,0,1288,0.12
SRSB,400,714,0.172
USGC,1300,2016,0.108
WAG,300,204,0.2
