Station_ID,Ecoli0822,Entero0822,PRE0822
CCSO,176800,0,1.13
CHW,400,341,0.93
CRK,1000,882,1.13
FBL,300,984,1.07
NPRB,100,163,0.93
PCP,500,3576,1.07
PTP,400,696,1.121
PNSL,100,588,1.17
PADB,1100,1888,1.13
PCSO,4000,872,1.106
PPP,10300,0,1.121
REP,100,519,1.17
RBL,0,0,0.003
SRBG,100,776,0.99
SRSB,0,876,1.121
USGC,4800,500,1.106
WAG,100,362,1.17
