Station,Station_ID,Sample Date,Sample_ID,Enterococcus,PWD_PRECIP
Camden CSO at 32nd and Farragut,CCSO,08222021,CCSO08222021,0,1.13
Chester Waterfront,CHW,08222021,CHW08222021,341,0.93
Cooper River at Kaighns Ave,CRK,08222021,CRK08222021,882,1.13
Frankford Boat Launch,FBL,08222021,FBL08222021,984,1.07
National Park/Redbank Battlefield Park,NPRB,08222021,NPRB08222021,163,0.93
Palmyra Cove Nature Park,PCP,08222021,PCP08222021,3576,1.07
Penn Treaty Park,PTP,08222021,PTP08222021,696,1.121
Penns Landing,PNSL,08222021,PNSL08222021,588,1.17
Pennsauken Access/Delair Boat Launch,PADB,08222021,PADB08222021,1888,1.13
PWD CSO or Upstream Location,PCSO,08222021,PCSO08222021,872,1.106
Pyne Poynt,PPP,08222021,PPP08222021,0,1.121
Replicate,REP,08222021,REP08222021,519,1.17
Rinsate Blank,RBL,08222021,RBL08222021,0,0.003
Schuylkill River at Bartram’s Garden,SRBG,08222021,SRBG08222021,776,0.99
Schuylkill River at Schuylkill Banks,SRSB,08222021,SRSB08222021,876,1.121
USGS gage at Castor Ave,USGC,08222021,USGC08222021,500,1.106
Washington Avenue Green,WAG,08222021,WAG08222021,362,1.17
