Station,Station_ID,Sample Date,Sample_ID,Enterococcus,PWD_PRECIP
Chester Waterfront,CHW,08242021,CHW08242021,78,0
Cooper River at Kaighns Ave,CRK,08242021,CRK08242021,130,0
Frankford Boat Launch,FBL,08242021,FBL08242021,259,0
National Park/Redbank Battlefield Park,NPRB,08242021,NPRB08242021,121,0
Palmyra Cove Nature Park,PCP,08242021,PCP08242021,340,0
Penn Treaty Park,PTP,08242021,PTP08242021,113,0.003
Penns Landing,PNSL,08242021,PNSL08242021,74,0
Pennsauken Access/Delair Boat Launch,PADB,08242021,PADB08242021,206,0
Pyne Poynt,PPP,08242021,PPP08242021,227,0.003
Replicate,REP,08242021,REP08242021,233,0.003
Rinsate Blank,RBL,08242021,RBL08242021,0,0.003
Schuylkill River at Bartram’s Garden,SRBG,08242021,SRBG08242021,321,0
Schuylkill River at Schuylkill Banks,SRSB,08242021,SRSB08242021,649,0
USGS gage at Castor Ave,USGC,08242021,USGC08242021,3488,0.002
Washington Avenue Green,WAG,08242021,WAG08242021,129,0
