Station_ID,Ecoli0824,Entero0824,PRE0824
CHW,0,78,0
CRK,800,130,0
FBL,0,259,0
NPRB,0,121,0
PCP,0,340,0
PTP,0,113,0.003
PNSL,0,74,0
PADB,200,206,0
PPP,1000,227,0.003
REP,300,233,0.003
RBL,0,0,0.003
SRBG,0,321,0
SRSB,300,649,0
USGC,8100,3488,0.002
WAG,0,129,0
