Station_ID,Ecoli0818,Entero0818,PRE0818
CHW,1610,220,0
CRK,110,1790,0.02
FBL,180,20,0.05
NPRB,30,30,0
PCP,20,40,0.05
PTP,10,10,0.017
PNSL,20,10,0.02
PADB,20,20,0.02
PPP,640,180,0.017
REP,380,120,0.017
RBL,0,0,0.003
SRBG,110,70,0
SRSB,50,40,0.01
USGC,710,310,0.024
WAG,120,20,0.02
