Station_ID,Ecoli0819,Entero0819,PRE0819
CCSO,2700,1344,0.03
CHW,0,27,0
CRK,0,284,0.03
FBL,100,888,1.11
NPRB,100,273,0
PCP,0,405,1.11
PTP,1600,1152,0.441
PNSL,700,668,0
PADB,0,63,0.03
PCSO,9400,4000,0.979
PPP,300,131,0.441
REP,100,608,0
RBL,0,0,0.003
SRBG,1600,4000,0.01
SRSB,2300,4000,0.492
USGC,6200,4000,0.979
WAG,100,112,0
